age (Myr),qEEP,mass,Teff,logL,logg,radius
15,15,0.15,3169,-1.76,4.33,0.438
15,16,0.17,3205,-1.68,4.33,0.469
15,17,0.2,3252,-1.59,4.33,0.508
15,18,0.3,3374,-1.34,4.33,0.623
15,19,0.4,3498,-1.17,4.34,0.707
15,20,0.5,3621,-1.03,4.36,0.774
15,21,0.6,3748,-0.91,4.37,0.834
15,22,0.7,3891,-0.78,4.38,0.895
15,23,0.8,4054,-0.65,4.38,0.955
15,24,0.9,4263,-0.51,4.37,1.02
15,25,1,4530,-0.35,4.36,1.092
15,26,1.1,4850,-0.15,4.33,1.189
15,27,1.2,5264,0.09,4.27,1.331
15,28,1.3,5754,0.4,4.15,1.593
15,29,1.4,6422,0.7,4.07,1.804
20,1,0.015,2209,-3.15,4.1,0.181
20,2,0.02,2411,-2.92,4.14,0.198
20,3,0.03,2555,-2.84,4.34,0.194
20,4,0.04,2681,-2.68,4.38,0.213
20,5,0.05,2811,-2.52,4.4,0.233
20,6,0.06,2883,-2.41,4.42,0.251
20,7,0.07,2940,-2.31,4.42,0.271
20,8,0.072,2950,-2.29,4.42,0.275
20,9,0.075,2964,-2.27,4.42,0.279
20,10,0.08,2986,-2.22,4.42,0.29
20,11,0.09,3025,-2.15,4.42,0.306
20,12,0.1,3059,-2.1,4.43,0.319
20,13,0.11,3090,-2.03,4.43,0.336
20,14,0.13,3141,-1.93,4.42,0.366
20,15,0.15,3182,-1.84,4.42,0.396
20,16,0.17,3215,-1.77,4.42,0.422
20,17,0.2,3263,-1.67,4.41,0.46
20,18,0.3,3392,-1.42,4.41,0.565
20,19,0.4,3500,-1.25,4.42,0.643
20,20,0.5,3609,-1.11,4.43,0.71
20,21,0.6,3733,-0.98,4.44,0.771
20,22,0.7,3894,-0.85,4.45,0.829
20,23,0.8,4102,-0.69,4.44,0.895
20,24,0.9,4406,-0.5,4.42,0.966
20,25,1,4793,-0.28,4.39,1.057
20,26,1.1,5302,0.01,4.32,1.198
20,27,1.2,5911,0.35,4.21,1.43
20,28,1.3,6330,0.41,4.3,1.34
20,29,1.4,6475,0.5,4.28,1.415
25,1,0.015,2181,-3.2,4.12,0.177
25,2,0.02,2306,-3.12,4.27,0.172
25,3,0.03,2500,-2.95,4.41,0.178
25,4,0.04,2655,-2.76,4.45,0.196
25,5,0.05,2792,-2.6,4.47,0.214
25,6,0.06,2874,-2.48,4.49,0.231
25,7,0.07,2935,-2.38,4.49,0.249
25,8,0.072,2946,-2.36,4.49,0.253
25,9,0.075,2961,-2.34,4.49,0.257
25,10,0.08,2985,-2.3,4.49,0.266
25,11,0.09,3026,-2.22,4.49,0.283
25,12,0.1,3061,-2.16,4.5,0.295
25,13,0.11,3094,-2.1,4.5,0.31
25,14,0.13,3148,-2,4.49,0.338
25,15,0.15,3194,-1.9,4.49,0.365
25,16,0.17,3228,-1.83,4.48,0.391
25,17,0.2,3276,-1.73,4.48,0.425
25,18,0.3,3410,-1.48,4.48,0.521
25,19,0.4,3507,-1.31,4.49,0.599
25,20,0.5,3604,-1.18,4.49,0.662
25,21,0.6,3731,-1.04,4.49,0.725
25,22,0.7,3916,-0.88,4.49,0.789
25,23,0.8,4186,-0.69,4.47,0.858
25,24,0.9,4601,-0.45,4.45,0.938
25,25,1,5147,-0.15,4.39,1.056
25,26,1.1,5796,0.18,4.31,1.22
25,27,1.2,6102,0.22,4.39,1.156
25,28,1.3,6271,0.35,4.34,1.276
25,29,1.4,6622,0.55,4.27,1.432
30,1,0.015,2139,-3.26,4.15,0.171
30,2,0.02,2184,-3.29,4.34,0.159
30,3,0.03,2448,-3.05,4.47,0.167
30,4,0.04,2632,-2.83,4.51,0.185
30,5,0.05,2755,-2.68,4.53,0.2
30,6,0.06,2860,-2.55,4.54,0.217
30,7,0.07,2925,-2.45,4.55,0.233
30,8,0.072,2936,-2.43,4.55,0.236
30,9,0.075,2952,-2.4,4.55,0.241
30,10,0.08,2977,-2.36,4.55,0.249
30,11,0.09,3020,-2.28,4.55,0.264
30,12,0.1,3056,-2.22,4.55,0.277
30,13,0.11,3089,-2.16,4.56,0.289
30,14,0.13,3145,-2.05,4.55,0.317
30,15,0.15,3193,-1.96,4.55,0.342
30,16,0.17,3231,-1.88,4.54,0.366
30,17,0.2,3279,-1.78,4.54,0.398
30,18,0.3,3413,-1.54,4.54,0.488
30,19,0.4,3508,-1.36,4.54,0.564
30,20,0.5,3602,-1.23,4.54,0.627
30,21,0.6,3739,-1.08,4.54,0.692
30,22,0.7,3960,-0.9,4.52,0.758
30,23,0.8,4320,-0.66,4.5,0.834
30,24,0.9,4848,-0.37,4.46,0.925
30,25,1,5520,-0.03,4.39,1.053
30,26,1.1,5897,0.07,4.44,1.045
30,27,1.2,6052,0.19,4.41,1.133
30,28,1.3,6335,0.38,4.33,1.287
30,29,1.4,6743,0.56,4.29,1.4
40,1,0.015,1996,-3.45,4.22,0.158
40,2,0.02,2005,-3.52,4.42,0.144
40,3,0.03,2366,-3.18,4.55,0.153
40,4,0.04,2581,-2.95,4.59,0.167
40,5,0.05,2699,-2.8,4.61,0.183
40,6,0.06,2830,-2.65,4.63,0.196
40,7,0.07,2904,-2.55,4.63,0.211
40,8,0.072,2916,-2.53,4.63,0.214
40,9,0.075,2933,-2.5,4.64,0.218
40,10,0.08,2961,-2.45,4.63,0.225
40,11,0.09,3007,-2.38,4.64,0.239
40,12,0.1,3046,-2.31,4.64,0.25
40,13,0.11,3081,-2.25,4.64,0.263
40,14,0.13,3138,-2.14,4.64,0.287
40,15,0.15,3187,-2.05,4.63,0.309
40,16,0.17,3229,-1.97,4.63,0.33
40,17,0.2,3280,-1.87,4.63,0.36
40,18,0.3,3410,-1.62,4.62,0.443
40,19,0.4,3509,-1.44,4.62,0.514
40,20,0.5,3606,-1.29,4.61,0.58
40,21,0.6,3771,-1.12,4.59,0.647
40,22,0.7,4084,-0.88,4.56,0.723
40,23,0.8,4645,-0.57,4.53,0.806
40,24,0.9,5301,-0.25,4.49,0.892
40,25,1,5570,-0.15,4.53,0.9
40,26,1.1,5822,0.02,4.47,1.006
40,27,1.2,6090,0.21,4.4,1.145
40,28,1.3,6413,0.4,4.33,1.287
40,29,1.4,6757,0.56,4.3,1.389
50,1,0.015,1760,-3.74,4.29,0.146
50,2,0.02,1838,-3.72,4.47,0.137
50,3,0.03,2304,-3.28,4.6,0.144
50,4,0.04,2525,-3.05,4.65,0.156
50,5,0.05,2671,-2.88,4.67,0.17
50,6,0.06,2804,-2.73,4.69,0.182
50,7,0.07,2882,-2.63,4.7,0.195
50,8,0.072,2896,-2.61,4.7,0.198
50,9,0.075,2916,-2.57,4.7,0.202
50,10,0.08,2945,-2.53,4.7,0.209
50,11,0.09,2996,-2.45,4.7,0.221
50,12,0.1,3037,-2.38,4.71,0.232
50,13,0.11,3073,-2.32,4.71,0.244
50,14,0.13,3133,-2.21,4.7,0.266
50,15,0.15,3182,-2.13,4.7,0.285
50,16,0.17,3225,-2.04,4.7,0.305
50,17,0.2,3280,-1.94,4.7,0.332
50,18,0.3,3407,-1.69,4.69,0.411
50,19,0.4,3512,-1.5,4.68,0.479
50,20,0.5,3617,-1.34,4.66,0.548
50,21,0.6,3821,-1.13,4.63,0.621
50,22,0.7,4270,-0.83,4.59,0.702
50,23,0.8,4938,-0.49,4.56,0.776
50,24,0.9,5236,-0.36,4.58,0.802
50,25,1,5536,-0.17,4.53,0.895
50,26,1.1,5833,0.03,4.47,1.013
50,27,1.2,6133,0.23,4.4,1.15
50,28,1.3,6435,0.4,4.34,1.283
50,29,1.4,6759,0.56,4.3,1.389
