log10_isochrone_age_yr,EEP,eep,age,feh,mass,initial_mass,radius,density,logTeff,Teff,logg,logL,Mbol,delta_nu,nu_max,phase,dm_deep
5.0,21,21,5.0,0.042674021047136135,0.1450593450716446,0.1450593680234427,1.8943366307047182,0.030083303937072554,3.4882635299831684,3077.963957370315,3.04192305119196,-0.5373858698733246,6.083464674683311,19.961877305601615,172.11478558089348,-1.0,
5.0,22,22,5.0,0.042674020976601224,0.14930552963085608,0.14930555407464333,1.9407292701066003,0.028796009990174856,3.490016836251204,3090.415236013011,3.035861776469889,-0.5093570474691508,6.013392618672877,19.435866781016585,168.09375474434182,-1.0,
5.0,23,23,5.0,0.04267402107569085,0.15495042038352222,0.1549504467031604,1.9853958713354896,0.027912755186687094,3.492262461966795,3106.4363678627024,3.030913225174413,-0.4806102276537125,5.941525569134281,19.13493159052928,166.1013273112576,-1.0,
5.0,24,24,5.0,0.04267402123012931,0.1609046869992652,0.16090471535689013,2.030523086568684,0.027095438935786455,3.494601625688686,3123.2131582090906,3.026269963981724,-0.4517319382495324,5.869329845623831,18.870114787115646,164.43392869462045,-1.0,
5.0,25,25,5.0,0.04267402139918719,0.16689361042934314,0.166893640928868,2.0764369520117483,0.026280568408478748,3.4969338015925637,3140.0300305752544,3.0218133025786247,-0.4229816001424768,5.7974540003561925,18.596594976900406,162.68767064916872,-1.0,
5.0,26,26,5.0,0.042674021581109,0.172918748369505,0.17291878111786002,2.123259514997997,0.02546737231380045,3.499259690878638,3156.891755189425,3.017500107676793,-0.3943093829052505,5.725773457263126,18.312022571209347,160.83586870874726,-1.0,
5.0,27,27,5.0,0.0426740217719801,0.1789783873650338,0.17897842247122706,2.1709440608118635,0.02466073307944255,3.5015794921278567,3173.7995346527878,3.0133506753074397,-0.36573906977649895,5.654347674441247,18.016570292971767,158.87996356484746,-1.0,
5.0,28,28,5.0,0.042674021966125686,0.18507700026511206,0.18507703784174664,2.2195520670194044,0.023862048873362032,3.503895567387328,3190.770494288726,3.009356329747156,-0.3372413601930786,5.583103400482697,17.708842642892748,156.8047509100868,-1.0,
5.0,29,29,5.0,0.04267402215354088,0.1912157328309148,0.1912157729935782,2.2691300655417117,0.023072610932169745,3.506210111636857,3207.820892651441,3.005507537247797,-0.3087950774809333,5.511987693702333,17.387942157674214,154.5998750962783,-1.0,
5.0,30,30,5.0,0.04267402231804285,0.19739074516772107,0.19739078803312207,2.319624833729405,0.022295890800883473,3.5085229578867825,3224.9497936798434,3.001820786749928,-0.2804269735666993,5.441067433916748,17.053495986412393,152.25931578781604,-1.0,
5.0,31,31,5.0,0.04267402260042852,0.20368444995765206,0.20368449552631954,2.363747780959248,0.021742313982190686,3.510790647584876,3241.833065471064,2.9991151379218266,-0.2549894457326869,5.377473614331717,16.830718784217837,150.89086356421362,-1.0,
5.0,32,32,5.0,0.04267402303244827,0.2100581319750429,0.21005818027053771,2.4032186654569543,0.02133589791296154,3.5130149603846434,3258.479254742086,2.9970843040247823,-0.2317078859445849,5.319269714861463,16.689082703002974,150.22701027525937,-1.0,
5.0,33,33,5.0,0.0426740235104659,0.2164283065836264,0.21642835770822114,2.4429085133471737,0.020928771836085984,3.515214001011331,3275.0203356624247,2.9952031517088944,-0.20868389432328852,5.261709735808221,16.540408959702955,149.48959080985026,-1.0,
5.0,34,34,5.0,0.04267402402490683,0.22279774216367432,0.22279779622151846,2.4829339212303463,0.02051949135469257,3.517387424612074,3291.4512311555545,2.9934324787885416,-0.18587428241444987,5.204685706036125,16.38295828203855,148.6578298080974,-1.0,
